"nftId","uri","image","metadata"
"moneyverse-0901","https://api.ckxpress.com/book-nft/metadata?book_id=1","ipfs://bafybeigczttgu37addo4yw3e6dd7242oooyo3afhmbs3kj4g6yuiq4fa6i","{""name"":""《所謂「我不投資」，就是 all in 在法定貨幣》"",""description"":""#0901"",""fileName"":""2-sliver-1120"",""ipfs_hash"":""ipfs://bafybeigczttgu37addo4yw3e6dd7242oooyo3afhmbs3kj4g6yuiq4fa6i"",""attributes"":{""background"":""Fade Out"",""publish_info_layout"":""Kitty-Corner"",""coins_layout"":""Random"",""coins_color"":""Sliver"",""coin_1_rotate"":{""X"":0.0028,""Z"":0.0083},""coin_2_rotate"":{""X"":0.002,""Z"":0.0068},""coin_1_position"":{""X"":186,""Y"":167},""coin_2_position"":{""X"":21,""Y"":-191}}}"
"moneyverse-0902","https://api.ckxpress.com/book-nft/metadata?book_id=1","ipfs://bafybeibvaxvhggcyog6xz3nralxnzr4x5ly2ejsb24nzluzt7qlr4bpce4","{""name"":""《所謂「我不投資」，就是 all in 在法定貨幣》"",""description"":""#0902"",""fileName"":""2-sliver-0574"",""ipfs_hash"":""ipfs://bafybeibvaxvhggcyog6xz3nralxnzr4x5ly2ejsb24nzluzt7qlr4bpce4"",""attributes"":{""background"":""Mixing"",""publish_info_layout"":""Bottom"",""coins_layout"":""Standard"",""coins_color"":""Sliver"",""coin_1_rotate"":{""X"":0.0039,""Z"":0.0067},""coin_2_rotate"":{""X"":0.0097,""Z"":0.0067}}}"
"moneyverse-0903","https://api.ckxpress.com/book-nft/metadata?book_id=1","ipfs://bafybeifcrhmrv2lnsqfl7eoe3pccsi4ty5xnuw76gvypsgebe7butkfvo4","{""name"":""《所謂「我不投資」，就是 all in 在法定貨幣》"",""description"":""#0903"",""fileName"":""2-sliver-1018"",""ipfs_hash"":""ipfs://bafybeifcrhmrv2lnsqfl7eoe3pccsi4ty5xnuw76gvypsgebe7butkfvo4"",""attributes"":{""background"":""Mixing"",""publish_info_layout"":""Kitty-Corner"",""coins_layout"":""Standard"",""coins_color"":""Sliver"",""coin_1_rotate"":{""X"":0.0093,""Z"":0.0091},""coin_2_rotate"":{""X"":-0.0093,""Z"":-0.0091}}}"
"moneyverse-0904","https://api.ckxpress.com/book-nft/metadata?book_id=1","ipfs://bafybeidupiccwgnvimmgvt6leu2u523chhwhkwulm75prbd6pgxolsjkdy","{""name"":""《所謂「我不投資」，就是 all in 在法定貨幣》"",""description"":""#0904"",""fileName"":""2-sliver-0636"",""ipfs_hash"":""ipfs://bafybeidupiccwgnvimmgvt6leu2u523chhwhkwulm75prbd6pgxolsjkdy"",""attributes"":{""background"":""Fade Out"",""publish_info_layout"":""Kitty-Corner"",""coins_layout"":""Standard"",""coins_color"":""Sliver"",""coin_1_rotate"":{""X"":0.0044,""Z"":0.0014},""coin_2_rotate"":{""X"":-0.0044,""Z"":-0.0014}}}"
"moneyverse-0905","https://api.ckxpress.com/book-nft/metadata?book_id=1","ipfs://bafybeif3pc4rbyvbn5mqdsn647uskljogmpe7djgmadddm6mkvqfe27wte","{""name"":""《所謂「我不投資」，就是 all in 在法定貨幣》"",""description"":""#0905"",""fileName"":""2-sliver-0514"",""ipfs_hash"":""ipfs://bafybeif3pc4rbyvbn5mqdsn647uskljogmpe7djgmadddm6mkvqfe27wte"",""attributes"":{""background"":""Fade Out"",""publish_info_layout"":""Kitty-Corner"",""coins_layout"":""Standard"",""coins_color"":""Sliver"",""coin_1_rotate"":{""X"":0.0042,""Z"":0.0057},""coin_2_rotate"":{""X"":0.0057,""Z"":0.008}}}"
"moneyverse-0906","https://api.ckxpress.com/book-nft/metadata?book_id=1","ipfs://bafybeigc2ms4djkmfkxor2bl7shljhkefntqtc5b6lhjkst3tfnnnkppqy","{""name"":""《所謂「我不投資」，就是 all in 在法定貨幣》"",""description"":""#0906"",""fileName"":""2-sliver-0659"",""ipfs_hash"":""ipfs://bafybeigc2ms4djkmfkxor2bl7shljhkefntqtc5b6lhjkst3tfnnnkppqy"",""attributes"":{""background"":""Fade Out"",""publish_info_layout"":""Kitty-Corner"",""coins_layout"":""Standard"",""coins_color"":""Sliver"",""coin_1_rotate"":{""X"":0.0046,""Z"":0.0064},""coin_2_rotate"":{""X"":-0.0046,""Z"":-0.0064}}}"
"moneyverse-0907","https://api.ckxpress.com/book-nft/metadata?book_id=1","ipfs://bafybeif5yyozyxctsstpwzn5rzwxa5bzom43hhfwzop542dwmhqr2dk2da","{""name"":""《所謂「我不投資」，就是 all in 在法定貨幣》"",""description"":""#0907"",""fileName"":""2-sliver-0253"",""ipfs_hash"":""ipfs://bafybeif5yyozyxctsstpwzn5rzwxa5bzom43hhfwzop542dwmhqr2dk2da"",""attributes"":{""background"":""Mixing"",""publish_info_layout"":""Kitty-Corner"",""coins_layout"":""Standard"",""coins_color"":""Sliver"",""coin_1_rotate"":{""X"":0.0076,""Z"":0.002},""coin_2_rotate"":{""X"":0.0092,""Z"":0.0024}}}"
"moneyverse-0908","https://api.ckxpress.com/book-nft/metadata?book_id=1","ipfs://bafybeiaxtrh266pdnzl7722ngjyaf5kunmtactztjbgwixpytzhnkjpwiu","{""name"":""《所謂「我不投資」，就是 all in 在法定貨幣》"",""description"":""#0908"",""fileName"":""2-sliver-0785"",""ipfs_hash"":""ipfs://bafybeiaxtrh266pdnzl7722ngjyaf5kunmtactztjbgwixpytzhnkjpwiu"",""attributes"":{""background"":""Fade Out"",""publish_info_layout"":""Kitty-Corner"",""coins_layout"":""Mirror"",""coins_color"":""Sliver"",""coin_1_rotate"":{""X"":0.0093,""Z"":0.0079},""coin_2_rotate"":{""X"":-0.0093,""Z"":-0.0079},""coin_1_position"":{""X"":-157,""Y"":192},""coin_2_position"":{""X"":14,""Y"":-139}}}"
"moneyverse-0909","https://api.ckxpress.com/book-nft/metadata?book_id=1","ipfs://bafybeig7ucvp2nbu7hrpuoiaoufjqzao7upso2jni6osb7tprn4w2lc4ry","{""name"":""《所謂「我不投資」，就是 all in 在法定貨幣》"",""description"":""#0909"",""fileName"":""2-sliver-0818"",""ipfs_hash"":""ipfs://bafybeig7ucvp2nbu7hrpuoiaoufjqzao7upso2jni6osb7tprn4w2lc4ry"",""attributes"":{""background"":""Mixing"",""publish_info_layout"":""Kitty-Corner"",""coins_layout"":""Mirror"",""coins_color"":""Sliver"",""coin_1_rotate"":{""X"":0.0024,""Z"":0.0096},""coin_2_rotate"":{""X"":-0.0024,""Z"":-0.0096},""coin_1_position"":{""X"":-110,""Y"":-104},""coin_2_position"":{""X"":-198,""Y"":170}}}"
"moneyverse-0910","https://api.ckxpress.com/book-nft/metadata?book_id=1","ipfs://bafybeifbv36lzmwhdqyeuexp25rcoxvucim3krjvz66zeis6givhv5wat4","{""name"":""《所謂「我不投資」，就是 all in 在法定貨幣》"",""description"":""#0910"",""fileName"":""2-sliver-0339"",""ipfs_hash"":""ipfs://bafybeifbv36lzmwhdqyeuexp25rcoxvucim3krjvz66zeis6givhv5wat4"",""attributes"":{""background"":""Mixing"",""publish_info_layout"":""Bottom"",""coins_layout"":""Random"",""coins_color"":""Sliver"",""coin_1_rotate"":{""X"":0.008,""Z"":0.008},""coin_2_rotate"":{""X"":0.0011,""Z"":0.0039},""coin_1_position"":{""X"":-192,""Y"":172},""coin_2_position"":{""X"":-171,""Y"":-31}}}"
